temp,hum,next_temp,next_hum,trang_thai_suc_khoe,khan_cap
27,53.2,25.8,60.4,Can trong,Khong
38.5,86.4,37.2,90.8,Nguy hiem,Khong
41.2,55,41.2,59.5,Cuc ky nguy hiem,Khong
20.3,64.7,19.1,64.4,An toan,Khong
27.5,69.6,28.3,62.5,Can trong,Khong
41.2,91.6,39.8,84.4,Cuc ky nguy hiem,Khong
24,73.2,25,67.1,An toan,Khong
29.4,61.9,30,83.7,Can trong,CO (Soc moi truong)
24.7,72,25.5,75.1,An toan,Khong
38.2,50.7,36.4,55,Canh bao cao,Khong
31.5,93.7,32.2,89.1,Can trong,Khong
37.1,59,35.7,52.3,Canh bao cao,Khong
30.9,50.8,29.2,53.7,Can trong,Khong
28.7,60.8,30,60.8,Can trong,Khong
27.9,39.4,29.5,36.3,Can trong,Khong
31.8,63,33.2,63.3,Can trong,Khong
36.9,62.2,35.3,59.7,Nguy hiem,Khong
25.6,92.1,24.9,90.6,An toan,Khong
29.5,78.2,35.7,76.5,Can trong,CO (Soc moi truong)
35.5,71.7,36.4,67,Nguy hiem,Khong
32.1,58.3,30.4,58.9,Canh bao cao,Khong
32.7,36.7,31.6,46.7,Canh bao cao,Khong
30.1,58.5,28.2,65.2,Can trong,Khong
31.9,42.2,30.2,42,Can trong,Khong
28.9,67.3,29.8,61.7,Can trong,Khong
24.9,51.9,26.6,50,An toan,Khong
28.9,51,33,53,Can trong,Khong
26.7,42.8,27.3,34.5,An toan,Khong
26.5,67.8,27.8,59.8,An toan,Khong
29.6,75.7,30.5,85.3,Can trong,Khong
34.5,57.2,35.5,56.6,Canh bao cao,Khong
35.8,72.1,37.5,73.9,Nguy hiem,Khong
35.7,38.3,35,50.9,Canh bao cao,Khong
20.7,94.3,22.4,93.7,An toan,Khong
41.7,32.8,40,35,Cuc ky nguy hiem,Khong
27.6,32.1,27.6,30.8,Can trong,Khong
33.1,45.6,31.8,45.3,Canh bao cao,Khong
29.4,42.3,29.1,50.3,Can trong,Khong
29.5,40.2,30.9,38.4,Can trong,Khong
29.2,55.2,30.4,59.7,Can trong,Khong
32.6,74.7,34.3,75.9,Nguy hiem,Khong
30.8,68.5,32.1,69.7,Can trong,Khong
20.9,54,20,57,An toan,Khong
29.1,47.2,30.6,42.2,Can trong,Khong
32.7,47,32.8,51.2,Canh bao cao,Khong
33.2,48,34.9,57.2,Canh bao cao,Khong
33.8,77.9,33.2,78.6,Nguy hiem,Khong
40.5,75.3,40.5,82.3,Nguy hiem,Khong
27.9,55.8,28.5,60.9,Can trong,Khong
37.1,49.8,38.4,42.8,Canh bao cao,Khong
28.6,32.6,28.2,28.2,Can trong,Khong
21.7,74,22.2,80.5,An toan,Khong
39.9,30.7,40.5,34.3,Canh bao cao,Khong
27.4,53.7,25.8,51.2,Can trong,Khong
34.5,73.5,34.3,82.6,Nguy hiem,Khong
41.8,42.3,43.6,42.4,Cuc ky nguy hiem,Khong
26.9,93.5,24.7,100,An toan,Khong
41.5,42.9,41.8,40.3,Cuc ky nguy hiem,Khong
32.3,81.5,33.5,90.1,Nguy hiem,Khong
35.1,50.7,33.9,54.3,Canh bao cao,Khong
23.9,39.3,23,39,An toan,Khong
34.5,64.5,33.5,60.4,Nguy hiem,Khong
38.2,91.7,39.7,94.5,Nguy hiem,Khong
39.1,60.3,38,50.4,Nguy hiem,Khong
41.5,49.4,42,46.6,Cuc ky nguy hiem,Khong
25,84.1,24.1,87.7,An toan,Khong
34.4,77.6,34.1,67.6,Nguy hiem,Khong
38,44.5,36.8,35.6,Canh bao cao,Khong
30.8,94.3,29.1,98.9,Can trong,Khong
24.1,73.5,23.3,69.1,An toan,Khong
36.3,77.2,34.8,70.9,Nguy hiem,Khong
22.8,88.4,23.8,71.7,An toan,Khong
38.3,68.9,38.1,59.3,Nguy hiem,Khong
30.5,90.7,32.4,85.4,Can trong,Khong
28.5,50.9,28.6,44.3,Can trong,Khong
26.5,47.1,24.6,37.5,An toan,Khong
21.6,68,21.1,77.5,An toan,Khong
36.2,77.8,38.1,77.6,Nguy hiem,Khong
40,69.7,41.9,73,Nguy hiem,Khong
41.4,64.8,41.8,55.6,Cuc ky nguy hiem,Khong
42,49.8,43.1,48.9,Cuc ky nguy hiem,Khong
39.6,44.6,41.1,50.9,Canh bao cao,Khong
23.7,94.1,23.5,100,An toan,Khong
39.6,37.6,40.5,19.4,Canh bao cao,Khong
21.7,49.8,23,47.4,An toan,Khong
31.3,39,30.3,37.2,Can trong,Khong
29.3,69,31.1,72,Can trong,Khong
25.5,39.4,26.1,36.9,An toan,Khong
21.8,62.4,22.9,67.8,An toan,Khong
38.9,53.1,40.3,51.5,Canh bao cao,Khong
28.7,53.7,29.3,58.7,Can trong,Khong
33.6,53.8,32,46.9,Canh bao cao,Khong
30.9,39.2,32.5,37.2,Can trong,Khong
40.8,44.8,42.5,40.8,Canh bao cao,Khong
36.7,70.5,35.7,67.2,Nguy hiem,Khong
21.3,54.2,19.8,61.3,An toan,Khong
23.5,94.6,22.9,87.9,An toan,Khong
34.3,93.5,36.1,93.1,Nguy hiem,Khong
38,40.5,37.5,41.8,Canh bao cao,Khong
34.2,77.2,33.5,74.6,Nguy hiem,Khong
24.5,68.6,25.7,71.2,An toan,Khong
23.2,91,22.1,84,An toan,Khong
36.3,76.8,35.5,82.9,Nguy hiem,Khong
41.4,31.3,40.5,24.3,Cuc ky nguy hiem,Khong
38.9,32.8,39.7,39.2,Canh bao cao,Khong
34.9,90.5,33.9,93.8,Nguy hiem,Khong
20.7,71.7,16,88.4,An toan,Khong
39.1,54.8,39.1,61.8,Canh bao cao,Khong
22,42.5,21.2,48.2,An toan,Khong
41.8,64.7,42.4,62.2,Cuc ky nguy hiem,Khong
33,84.8,31.1,82.8,Nguy hiem,Khong
40.5,60.3,40.8,67.5,Nguy hiem,Khong
33.5,73.6,32.1,82.7,Nguy hiem,Khong
28.8,66.4,28.9,64,Can trong,Khong
22.7,78,20.7,80.9,An toan,Khong
21.6,60.5,22,58,An toan,Khong
28.3,71.1,30.1,77.4,Can trong,Khong
38.3,61.8,42.8,35.5,Nguy hiem,CO (Soc moi truong)
23,48.5,23.8,30.8,An toan,Khong
35.4,42.4,36.8,34.3,Canh bao cao,Khong
41.2,71.2,42.8,80.6,Cuc ky nguy hiem,Khong
38.2,40.3,37.9,46.6,Canh bao cao,Khong
29.2,82,29.5,76,Can trong,Khong
36.1,73.7,41.3,64.6,Nguy hiem,CO (Soc moi truong)
20.1,66.4,18.3,58.1,An toan,Khong
38,62.1,37.9,69.4,Nguy hiem,Khong
22.4,76.9,23.8,81.3,An toan,Khong
20.3,59,22,61.6,An toan,Khong
21.6,94.8,20.2,99.6,An toan,Khong
34.8,64.8,34.7,67.8,Nguy hiem,Khong
27.8,91.2,29.6,91.4,Can trong,Khong
29.7,91.1,27.7,87.3,Can trong,Khong
23.9,91.9,22.7,97.2,An toan,Khong
38.9,67.8,40.5,68.7,Nguy hiem,Khong
33.1,88.3,33.7,89.7,Nguy hiem,Khong
26.2,32.2,28.1,36.3,An toan,Khong
26.5,52.3,24.8,42.9,An toan,Khong
23,75.5,21.7,74.1,An toan,Khong
30.9,33,29.8,41.7,Can trong,Khong
41.3,52.1,40.6,42.6,Cuc ky nguy hiem,Khong
20.7,39.3,20,35,An toan,Khong
24.7,55.1,26,46.4,An toan,Khong
33.2,89.6,32.3,88.1,Nguy hiem,Khong
41.5,43.9,41.6,43.7,Cuc ky nguy hiem,Khong
40.2,69.5,39,59.9,Nguy hiem,Khong
25.8,74.6,26.4,73.9,An toan,Khong
34.4,53.7,32.9,56.1,Canh bao cao,Khong
40.4,31.8,42,26.4,Canh bao cao,Khong
28.8,60.5,29.9,69.1,Can trong,Khong
35,63.5,33.2,62,Nguy hiem,Khong
36.4,41.9,37.7,50.9,Canh bao cao,Khong
33.5,78.7,34.9,70.3,Nguy hiem,Khong
41.9,64.6,42.2,73.8,Cuc ky nguy hiem,Khong
20.2,62,21.3,61,An toan,Khong
23.2,79.8,21.9,70,An toan,Khong
21.6,52.5,23.2,62.5,An toan,Khong
36.2,64.9,36.2,66.1,Nguy hiem,Khong
29.9,33.7,28,24.1,Can trong,Khong
21.6,90.5,19.2,60.8,An toan,CO (Soc moi truong)
27.9,33.7,27.3,27.7,Can trong,Khong
27.3,78.5,27.2,88.3,Can trong,Khong
38.5,39.4,36.8,42.5,Canh bao cao,Khong
23.8,68.5,23.2,70.2,An toan,Khong
25,33.1,24.6,37.6,An toan,Khong
23.4,37.4,22.1,37,An toan,Khong
31.9,43.7,31.4,46.5,Can trong,Khong
20.1,57.3,18.7,63.9,An toan,Khong
26.2,62.4,24.9,62.6,An toan,Khong
32.4,61,34.1,71,Nguy hiem,Khong
21.1,87.8,19.7,93.1,An toan,Khong
27,40,30.1,49.2,An toan,Khong
38.7,71.7,38.6,76.5,Nguy hiem,Khong
32.6,72.6,34.2,70.2,Nguy hiem,Khong
39.8,32.6,40.9,25.7,Canh bao cao,Khong
28.5,77.1,27.6,76.4,Can trong,Khong
24.3,81.1,26.1,81.4,An toan,Khong
29,87.3,26.5,98.8,Can trong,Khong
33.1,63.1,34.8,60.1,Nguy hiem,Khong
24,84.2,22.4,80.2,An toan,Khong
24.2,86.1,24.5,87.5,An toan,Khong
20.4,59,20.3,58.2,An toan,Khong
22.1,52.5,23.2,58,An toan,Khong
35.4,40.5,34,35.4,Canh bao cao,Khong
23.8,63.8,23.7,56.5,An toan,Khong
41.8,94.9,42,99.9,Cuc ky nguy hiem,Khong
35,80.1,33.4,88,Nguy hiem,Khong
23.1,84.3,21.2,83.3,An toan,Khong
22.1,48.4,23.4,53.2,An toan,Khong
20.3,53.7,19.8,56.5,An toan,Khong
34.6,74.3,36.5,82.8,Nguy hiem,Khong
28,52.4,26.4,51,Can trong,Khong
34,85.2,34.9,92.5,Nguy hiem,Khong
26.9,51.9,27.7,44,An toan,Khong
38.6,93.6,39.7,95.3,Nguy hiem,Khong
24.7,65,26.3,56.3,An toan,Khong
29.6,30.8,30,27.7,Can trong,Khong
23.1,48.7,21.8,56.7,An toan,Khong
21.2,60.7,23.1,66.2,An toan,Khong
24.2,85.9,23.9,94.8,An toan,Khong
22.4,46.7,20.4,48.1,An toan,Khong
39.2,35.1,37.4,26.6,Canh bao cao,Khong
37,74.1,36.2,75.5,Nguy hiem,Khong
21.6,62,23,61,An toan,Khong
23.7,66.9,21.8,58.8,An toan,Khong
34.9,36.6,36.4,42.1,Canh bao cao,Khong
24.6,47.6,26.5,45.6,An toan,Khong
40.5,66.3,39.3,61.8,Nguy hiem,Khong
32.6,60.4,34.5,69,Nguy hiem,Khong
28,89.4,29.6,85.5,Can trong,Khong
34.7,60.4,35.7,69.5,Nguy hiem,Khong
23.8,31.7,22.8,36,An toan,Khong
41.8,84,43.1,75.6,Cuc ky nguy hiem,Khong
28.5,52.6,30.8,78.6,Can trong,CO (Soc moi truong)
37.1,39.2,38.5,39.7,Canh bao cao,Khong
41.9,62,41.5,61.5,Cuc ky nguy hiem,Khong
30.3,61.6,28.5,61.3,Can trong,Khong
31.9,62.1,31.9,64.2,Can trong,Khong
26.1,90.9,25.8,88.4,An toan,Khong
42,61.8,43.9,58,Cuc ky nguy hiem,Khong
34.5,40,33.4,32.7,Canh bao cao,Khong
29.6,62.3,24.9,86.7,Can trong,CO (Soc moi truong)
41,40.4,42.4,48.9,Cuc ky nguy hiem,Khong
25.1,60.1,23.5,55.4,An toan,Khong
26.1,78.9,27.9,75.1,An toan,Khong
24.1,63.7,17.5,66.9,An toan,CO (Soc moi truong)
31.7,78.1,31.6,72.2,Can trong,Khong
30.1,37.2,28.2,42.2,Can trong,Khong
39.8,67.6,41.4,74.3,Nguy hiem,Khong
29.6,84.6,31.3,93.3,Can trong,Khong
40.4,32.5,36.8,30.3,Canh bao cao,Khong
40.1,42.4,44.7,31.8,Canh bao cao,Khong
37.7,58.2,35.8,54.2,Canh bao cao,Khong
24.4,58.5,24.9,48.9,An toan,Khong
38.2,80.7,38,78.3,Nguy hiem,Khong
28.2,62.1,26.3,60.1,Can trong,Khong
41.6,42.1,39.9,33.7,Cuc ky nguy hiem,Khong
32.7,30.5,32.8,57.4,Canh bao cao,CO (Soc moi truong)
40.9,87.8,39.8,92.1,Nguy hiem,Khong
36.7,38,38.1,40.9,Canh bao cao,Khong
20.1,84,18.8,76.5,An toan,Khong
38.3,81.1,36.6,80.3,Nguy hiem,Khong
40,64.4,39.5,71.9,Nguy hiem,Khong
22.3,77.2,21.2,76,An toan,Khong
39.1,66.7,40.6,64.1,Nguy hiem,Khong
40.6,37.6,39.6,40.5,Canh bao cao,Khong
21.7,36.2,21.7,31.1,An toan,Khong
23.4,85.7,22.4,76.7,An toan,Khong
30.8,89.2,30.8,100,Can trong,Khong
20.6,39.1,22.5,30.4,An toan,Khong
28.6,60.6,28.8,65.8,Can trong,Khong
27.3,37.3,25.4,45.8,Can trong,Khong
20.6,57.1,23.1,65,An toan,Khong
39.5,64.9,41.4,69.6,Nguy hiem,Khong
30.1,50.6,30.7,50.7,Can trong,Khong
30.2,42.3,37.8,60.9,Can trong,CO (Soc moi truong)
34,93.3,33.5,96.2,Nguy hiem,Khong
39.8,75.6,40.9,67.2,Nguy hiem,Khong
40,73.2,43.7,98.5,Nguy hiem,CO (Soc moi truong)
39.8,65.6,39.5,75.1,Nguy hiem,Khong
39,47.7,38.8,52.5,Canh bao cao,Khong
33.5,48.7,34.1,44.3,Canh bao cao,Khong
27.5,70.4,26,67.2,Can trong,Khong
30.1,81.7,28.7,79.7,Can trong,Khong
27,58.1,26.7,58.9,Can trong,Khong
27.1,62.6,27.7,56.2,Can trong,Khong
39.3,58.3,38.7,56.4,Canh bao cao,Khong
38.6,62.4,40,54.2,Nguy hiem,Khong
36.8,52.1,37.6,54.4,Canh bao cao,Khong
37.6,33.9,37.4,27,Canh bao cao,Khong
33.3,77.8,33.5,71.1,Nguy hiem,Khong
40,64.3,43.8,57.5,Nguy hiem,Khong
26.3,76.9,27.3,85.1,An toan,Khong
34.5,45.1,36.4,36.1,Canh bao cao,Khong
39.8,42.7,41,39.7,Canh bao cao,Khong
31.1,70.5,33.8,75,Can trong,Khong
36.8,61.3,44.4,88.3,Nguy hiem,CO (Soc moi truong)
28.6,85.4,29.3,88.9,Can trong,Khong
20,57.8,19,61.3,An toan,Khong
25.2,52,26.9,50.5,An toan,Khong
23.2,52.2,18.2,80,An toan,CO (Soc moi truong)
33.4,76.1,33.2,85.7,Nguy hiem,Khong
36.9,54.7,35,56.2,Canh bao cao,Khong
37.6,94.8,36.6,87.9,Nguy hiem,Khong
39.2,50,40.2,51.9,Canh bao cao,Khong
31.5,46.2,29.7,41.7,Can trong,Khong
41.5,30.5,42.3,19.2,Cuc ky nguy hiem,Khong
28,84.4,26.3,82.3,Can trong,Khong
41.1,30.4,42.8,27.7,Cuc ky nguy hiem,Khong
24,91.6,25.4,95.8,An toan,Khong
22.9,63.6,24.8,69.9,An toan,Khong
32.8,94.4,34.3,96.7,Nguy hiem,Khong
41.3,55.9,41.7,56.7,Cuc ky nguy hiem,Khong
31.7,50.3,33.4,48.2,Can trong,Khong
22.9,92.1,23.5,86.7,An toan,Khong
34.4,60.1,27.7,68.4,Nguy hiem,CO (Soc moi truong)
31.1,90.9,32.4,91.4,Can trong,Khong
37.3,86.7,36.8,83,Nguy hiem,Khong
36.4,57.3,36.1,57.4,Canh bao cao,Khong
23.6,78.9,21.7,81.7,An toan,Khong
28.3,72.8,26.8,73,Can trong,Khong
23.2,36.5,24.4,35.4,An toan,Khong
26.4,74.2,25.7,83.6,An toan,Khong
41.1,48.5,43,45.5,Cuc ky nguy hiem,Khong
22.9,47.8,19.8,47.2,An toan,Khong
30.1,72,30.7,66.8,Can trong,Khong
28.3,62.3,29.6,57.9,Can trong,Khong
40.3,50.4,40.3,55.5,Canh bao cao,Khong
20.7,80.6,20.2,75.4,An toan,Khong
36.5,82.6,37.4,90.3,Nguy hiem,Khong
24.8,55.6,26.3,59.6,An toan,Khong
38.1,57.8,37.6,49.6,Canh bao cao,Khong
25.3,69.1,23.5,70.3,An toan,Khong
24.9,71.2,24.2,70.3,An toan,Khong
26.9,43.1,25.7,33.7,An toan,Khong
21.8,52.3,23.7,50,An toan,Khong
25.9,84.8,24.6,80.7,An toan,Khong
37.4,65.9,36.2,65,Nguy hiem,Khong
41.2,37.7,39.4,30.7,Cuc ky nguy hiem,Khong
37.3,38,34,31.4,Canh bao cao,Khong
29,70.2,27.1,68.2,Can trong,Khong
31.9,93.6,31.1,98.8,Can trong,Khong
31.6,68.7,30.9,70.9,Can trong,Khong
32.5,62.1,31.7,53.3,Nguy hiem,Khong
26.1,33.1,26.2,34.9,An toan,Khong
27.3,78.4,28.3,79.2,Can trong,Khong
37.5,82.8,36.8,74.7,Nguy hiem,Khong
38.7,55.2,40.2,55.8,Canh bao cao,Khong
22.8,89.7,22.6,97.2,An toan,Khong
40.2,82.6,40.8,76.1,Nguy hiem,Khong
29.2,32.3,31,26.3,Can trong,Khong
20.6,56.3,18.4,69.3,An toan,Khong
22.6,65.7,22.3,65.6,An toan,Khong
35.5,38,37.5,40.7,Canh bao cao,Khong
37.4,70.7,36.1,70.9,Nguy hiem,Khong
20.6,50.7,19.9,48.9,An toan,Khong
23.2,88.4,21.7,88.1,An toan,Khong
34,34.8,32.1,34.5,Canh bao cao,Khong
25.3,94.8,33,78.1,An toan,CO (Soc moi truong)
40.7,49.7,41.6,42.5,Canh bao cao,Khong
29.4,58.2,29.1,59.5,Can trong,Khong
26.3,56,26.7,64.3,An toan,Khong
21.1,48.2,20.9,45.5,An toan,Khong
20.7,31.5,15.6,34,An toan,CO (Soc moi truong)
30.8,82.1,31.1,79.6,Can trong,Khong
33.1,95,34.5,100,Nguy hiem,Khong
21.9,30.6,20.8,39.5,An toan,Khong
39.8,46.5,40.3,47.4,Canh bao cao,Khong
35.5,83.5,36,91.6,Nguy hiem,Khong
29.1,64,29.6,73.8,Can trong,Khong
31.6,67,33.1,76.5,Can trong,Khong
22.1,41.2,21.4,34.9,An toan,Khong
21.2,86.3,21.9,77.3,An toan,Khong
25.9,40.9,27.9,47.3,An toan,Khong
32.3,77.3,33.6,81.1,Nguy hiem,Khong
41.1,30.6,42.3,25.6,Cuc ky nguy hiem,Khong
25.3,35.7,26,29.3,An toan,Khong
29.5,67.3,29.6,72.3,Can trong,Khong
30.5,94.6,31.8,85.5,Can trong,Khong
40.4,41,40,43.3,Canh bao cao,Khong
38.6,70.4,36.9,73.6,Nguy hiem,Khong
38.4,44.8,37.1,50.7,Canh bao cao,Khong
20.7,37.9,22.4,41.1,An toan,Khong
23.6,63.4,25.3,63.5,An toan,Khong
34.6,43.1,36,36.9,Canh bao cao,Khong
38.4,48.6,40.2,45.1,Canh bao cao,Khong
31.9,63,33.9,59.6,Can trong,Khong
36.5,92,32.5,91,Nguy hiem,Khong
38.7,48.9,40.4,57.2,Canh bao cao,Khong
28.2,44.4,30,44.7,Can trong,Khong
31.9,81.3,32.4,79,Can trong,Khong
23.8,95,24,93.6,An toan,Khong
22.6,43.6,22.2,36.5,An toan,Khong
32.3,42.5,34.1,36.3,Canh bao cao,Khong
30.4,56.1,29.7,63.5,Can trong,Khong
31.3,58,31.5,54.6,Can trong,Khong
31.3,51.3,32.4,54.8,Can trong,Khong
24.8,65.8,23.8,75.2,An toan,Khong
26.6,56.2,24.8,62.9,An toan,Khong
41.8,78.1,43,69.7,Cuc ky nguy hiem,Khong
21.5,83.9,22.7,84,An toan,Khong
28.8,55.5,30.3,53,Can trong,Khong
29.5,50.1,28.1,58.1,Can trong,Khong
24.6,63.5,22.7,45.9,An toan,Khong
39,35.4,38.5,26.5,Canh bao cao,Khong
29.7,65.8,30.6,71.1,Can trong,Khong
39.1,47.8,37.6,39.8,Canh bao cao,Khong
39.3,56.2,40.1,59,Canh bao cao,Khong
36.1,41.1,35.4,40.7,Canh bao cao,Khong
31.8,91.5,30.1,98.2,Can trong,Khong
41.6,51.5,40.3,49,Cuc ky nguy hiem,Khong
26.5,83,25.6,81.8,An toan,Khong
25.3,67.5,26.9,63.9,An toan,Khong
29.4,75.4,30,75.5,Can trong,Khong
39.4,32.8,38,37.1,Canh bao cao,Khong
27.5,32.9,33.6,46.4,Can trong,CO (Soc moi truong)
22.3,68.2,23,60.8,An toan,Khong
24.1,88.2,25.9,96.4,An toan,Khong
34.2,48.7,36,41.1,Canh bao cao,Khong
26.5,90.2,28,90.3,An toan,Khong
34.8,57.5,36.7,51.8,Canh bao cao,Khong
33.9,59.2,32.4,56.1,Canh bao cao,Khong
30.7,62.4,32.4,65.3,Can trong,Khong
25.7,76.8,24.9,83.8,An toan,Khong
34.6,71.9,35.6,64.4,Nguy hiem,Khong
29.3,89.1,30.1,97.4,Can trong,Khong
22.6,37,21.2,38.3,An toan,Khong
29.8,53.2,29.4,43.8,Can trong,Khong
38.5,85.4,37,77.4,Nguy hiem,Khong
28.5,74.6,28.8,77.6,Can trong,Khong
27.3,63.5,24.1,85.3,Can trong,CO (Soc moi truong)
23,76.8,19.8,100,An toan,CO (Soc moi truong)
34.4,44.3,34.4,36,Canh bao cao,Khong
20.8,65.6,22.6,73.3,An toan,Khong
22.4,50.7,20.8,44.6,An toan,Khong
32.2,35.8,31.9,44,Canh bao cao,Khong
35.8,87.4,34.4,88.3,Nguy hiem,Khong
39.9,82.9,38.9,87.9,Nguy hiem,Khong
25.1,38,26.2,38.6,An toan,Khong
30.8,58.7,28.7,41.8,Can trong,Khong
20.5,77.2,22,79,An toan,Khong
33.7,40.7,34.1,38.5,Canh bao cao,Khong
37.2,74.7,37.6,74.9,Nguy hiem,Khong
40,78.1,40.7,80.2,Nguy hiem,Khong
37.4,68.7,38.4,73,Nguy hiem,Khong
28.2,59.3,28.4,67.3,Can trong,Khong
29.1,75.5,28.1,82.5,Can trong,Khong
27.7,86.4,27.9,88.8,Can trong,Khong
40.9,59.8,39.3,65,Canh bao cao,Khong
35.2,57.3,35.7,58.2,Canh bao cao,Khong
38.7,92.8,38.8,97.2,Nguy hiem,Khong
28.2,54.3,29.9,53.4,Can trong,Khong
40.6,65.9,39,60.3,Nguy hiem,Khong
23.3,80.2,22.4,75.8,An toan,Khong
29.7,48.3,30.6,48.8,Can trong,Khong
39.3,74.4,39.3,67.6,Nguy hiem,Khong
21.1,34,22.4,35,An toan,Khong
41.7,58,39.2,32.9,Cuc ky nguy hiem,CO (Soc moi truong)
26.2,80.4,27.3,89.9,An toan,Khong
32,89.9,31,84.8,Can trong,Khong
39.7,51.2,40.7,55.5,Canh bao cao,Khong
23.4,60.1,25,53.4,An toan,Khong
35.6,30.7,35.6,37.4,Canh bao cao,Khong
23.2,31.1,25.1,36.4,An toan,Khong
23.7,39.2,23.5,40,An toan,Khong
39.7,64.7,38.7,66.2,Nguy hiem,Khong
33.9,69.6,33.5,65.4,Nguy hiem,Khong
22.3,45.3,20.6,51.2,An toan,Khong
28.7,40.7,29.2,31.8,Can trong,Khong
26.6,49.7,24.9,43.8,An toan,Khong
33.1,75.5,31.5,72.2,Nguy hiem,Khong
41.7,82.1,41.3,82.4,Cuc ky nguy hiem,Khong
37.3,93,38.4,92.9,Nguy hiem,Khong
41,74.6,42.1,80.5,Cuc ky nguy hiem,Khong
41.6,92.3,42.5,83.2,Cuc ky nguy hiem,Khong
25.3,79.6,25.2,83.9,An toan,Khong
39.4,80.1,41.2,72.2,Nguy hiem,Khong
22.6,53.9,22.2,61,An toan,Khong
25.3,63.9,25.5,58,An toan,Khong
20.2,79.3,20,89,An toan,Khong
22.1,52.6,22.1,51.1,An toan,Khong
32.1,61.2,30.8,55,Nguy hiem,Khong
32.3,66.9,32.2,59.7,Nguy hiem,Khong
24.6,84.9,26.1,81.5,An toan,Khong
39.6,44.1,39.9,37.3,Canh bao cao,Khong
30.2,86.2,31.7,93.9,Can trong,Khong
40.4,83.7,44.4,65.7,Nguy hiem,Khong
36.3,31.3,37.2,34.3,Canh bao cao,Khong
34.5,66.8,32.8,63.9,Nguy hiem,Khong
34.6,81.6,35.4,80.6,Nguy hiem,Khong
40,83.2,39.8,88.4,Nguy hiem,Khong
21,72,20.4,74.2,An toan,Khong
20.6,93.8,19.4,100,An toan,Khong
28.3,68.5,26.5,59.4,Can trong,Khong
22.5,35.6,24.1,29.9,An toan,Khong
38.9,53.5,45.8,51.6,Canh bao cao,CO (Soc moi truong)
35.8,63.5,35.8,66.8,Nguy hiem,Khong
38,33.3,38.4,29,Canh bao cao,Khong
36.1,44.6,37.9,50,Canh bao cao,Khong
28,75.8,28,73.1,Can trong,Khong
33,36.8,34.4,37.4,Canh bao cao,Khong
21,31.2,22.1,38.4,An toan,Khong
21.3,92.1,19.9,92.6,An toan,Khong
32.9,34.1,33,35.7,Canh bao cao,Khong
22.6,88.1,22.3,80.2,An toan,Khong
21.9,38.1,22,32.3,An toan,Khong
28.1,34.5,27.3,39,Can trong,Khong
26.5,37,25.4,35.9,An toan,Khong
37.7,60.8,37.2,54.2,Nguy hiem,Khong
40,94.3,40.6,96.8,Nguy hiem,Khong
22.7,60.5,21.6,62.2,An toan,Khong
24,56.1,22.8,48.5,An toan,Khong
38.9,67,37.5,64.6,Nguy hiem,Khong
25.7,85.6,24,86.8,An toan,Khong
38.6,39.9,43.6,42.8,Canh bao cao,CO (Soc moi truong)
32.8,48.8,33.7,42.2,Canh bao cao,Khong
34.7,45.3,32.5,56.9,Canh bao cao,Khong
39.2,33.7,39.1,24,Canh bao cao,Khong
33.7,52.9,33.5,53.1,Canh bao cao,Khong
32.8,79.8,34.3,72.4,Nguy hiem,Khong
26,32.8,27.8,30.9,An toan,Khong
23,42.3,24.9,43.9,An toan,Khong
33.1,73.9,33.8,78.9,Nguy hiem,Khong
36.1,59.8,36.1,65.9,Canh bao cao,Khong
30.5,51.7,31,57.7,Can trong,Khong
34.9,58.8,36.5,50.5,Canh bao cao,Khong
28.5,60.4,28.7,53.2,Can trong,Khong
23.3,55.2,22.8,58.8,An toan,Khong
37.9,33.1,38,26.6,Canh bao cao,Khong
40.7,92.1,39.5,94.8,Nguy hiem,Khong
37.9,45.5,39.3,42.9,Canh bao cao,Khong
27.9,72.4,28.5,66,Can trong,Khong
39.9,40.6,39.7,37,Canh bao cao,Khong
27.3,70.3,28.4,74.3,Can trong,Khong
39.3,54.5,40.4,59.8,Canh bao cao,Khong
32,76.4,34,46.9,Nguy hiem,CO (Soc moi truong)
31,47.9,30.4,42.4,Can trong,Khong
38.3,46.5,38,47.9,Canh bao cao,Khong
28.1,93.5,28,92.7,Can trong,Khong
33.6,56.6,32.1,55.9,Canh bao cao,Khong
36.6,53.3,36.3,63.1,Canh bao cao,Khong
36.6,63.3,35.6,61.2,Nguy hiem,Khong
41.5,32.3,40.4,31.1,Cuc ky nguy hiem,Khong
36.5,55,37,62.4,Canh bao cao,Khong
41,44.4,39.9,61.2,Cuc ky nguy hiem,Khong
32.9,61.2,31.7,54.8,Nguy hiem,Khong
29.2,82.6,30.6,77.8,Can trong,Khong
37.1,34.4,36.2,25.3,Canh bao cao,Khong
27.2,75.9,28.3,83.4,Can trong,Khong
30.4,51.6,29.8,58,Can trong,Khong
27.8,69.6,26.3,78.6,Can trong,Khong
23.8,85.8,29.9,100,An toan,CO (Soc moi truong)
21.9,40.2,23.8,39.4,An toan,Khong
28.3,93,29.5,98.9,Can trong,Khong
33.5,83.3,32,91.9,Nguy hiem,Khong
39.7,75.2,38.8,75.5,Nguy hiem,Khong
28.7,41.4,29.5,40,Can trong,Khong
30.1,32.6,24.9,24.8,Can trong,CO (Soc moi truong)
31.6,56.8,30.6,54.6,Can trong,Khong
40.2,71.5,40.9,71.7,Nguy hiem,Khong
